央视频道,#genre#
CCTV1综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv1
CCTV-5,http://222.129.139.91:8888/udp/239.3.1.173:8001$订阅源
CCTV-5,http://101.74.28.105:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://218.13.170.98:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://222.142.75.203:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://222.84.192.231:8181/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://60.10.106.114:555/rtp/239.253.92.181:6046$组播源
CCTV-5,http://60.164.128.167:8029/rtp/239.255.29.13:8231$组播源
CCTV-5,http://115.202.117.202:9999/rtp/233.50.201.197:5140$组播源
CCTV-5,http://114.254.27.162:18888/rtp/239.3.1.173:8001$组播源
CCTV-5+,http://111.8.224.6:9999/tsfile/live/1052_1.m3u8$订阅源
CCTV-5,http://123.113.237.160:8888/rtp/239.3.1.173:8001$组播源
CCTV-5+,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://221.0.78.198:1681/hls/10217/index.m3u8$订阅源
CCTV-5+,http://223.166.234.114:7777/tsfile/live/0016_1.m3u8$订阅源
CCTV-5+,http://8.138.7.223/tv/mgitv.php?id=27$订阅源
CCTV-5+,http://114.243.102.150:8888/rtp/239.3.1.130:8004$组播源
CCTV-5+,http://www.furymax.top:85/rtp/239.254.96.234:9484$组播源
CCTV-5+,http://114.252.235.176:8000/rtp/239.3.1.130:8004$组播源
CCTV-5+,http://60.10.106.114:555/rtp/239.253.92.82:8013$组播源
CCTV-5+,http://60.164.128.167:8029/rtp/239.255.30.184:8231$组播源
CCTV1综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv1
CCTV2财经 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv2 
CCTV3综艺,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv3 
CCTV4中文国际,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv4 
CCTV4美洲,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv4a
CCTV4欧洲,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv4o 
CCTV-5,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv5$订阅源
CCTV-5+,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv5p
CCTV6电影,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv6 
CCTV7国防军事,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv7 
CCTV8电视剧 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv8 
CCTV9纪录,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv9 
CCTV10科教 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv10 
CCTV11戏曲 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv11
CCTV12社会与法,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv12
CCTV13新闻 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv13 
CCTV14少儿 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv14 
CCTV15音乐 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv15 
CCTV17农业农村,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv17 
CCTV发现之旅,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=fxzl 
CCTV老故事 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=lgs 
CCTV中学生 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=zxs 
CGTN ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtn 
CGTN纪录,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtnjl 
CCTV西班牙语,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtne 
CCTV法语,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtnf 
CCTV阿拉伯语,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtna 
CCTV俄语,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cgtnr 
东方卫视x,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dfws 
重庆卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cqws 
吉林卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jlws 
辽宁卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=lnws 
内蒙古卫视 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=nmws
宁夏卫视x ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=nxws
甘肃卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gsws 
青海卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=qhws 
陕西卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=sxws 
山东卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=sdws 
河南卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hnws 
湖北卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hubws 
湖南卫视x ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hunws
江西卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jxws 
江苏卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jsws 
东南卫视x ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dnws 
海峡卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hxws 
广东卫视x ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gdws
大湾区卫视 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dwqws
广西卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gxws 
云南卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=ynws 
贵州卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gzws 
新疆卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xjws 
西藏卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xzws 
海南卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hinws 
四海钓鱼,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=shdy
CHC动作电影 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=chcdzdy 
CHC家庭影院 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=chcjtdy 
东方影视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dfys 
上海新闻综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=shxwzh 
上海第一财,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dycj 
上视纪实人文,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=shjsrw
上海外语,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=shics 
法治天地,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=fztd 
劲爆体育,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jbty 
魅力足球,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=mlzq 
乐游 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=ly
欢笑剧场,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hxjc 
七彩戏剧,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=qcxj 
游戏风云,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=yxfy 
