🕘️更新时间,#genre#
2026-09-19 14:46:00,http://111.196.130.52:20000/rtp/239.3.1.129:8008

📺央视频道,#genre#
CCTV-1,http://111.196.130.52:20000/rtp/239.3.1.129:8008
CCTV-1,http://221.220.129.160:8012/rtp/239.3.1.129:8008
CCTV-1,http://114.254.36.94:8888/rtp/239.3.1.129:8008
CCTV-1,http://123.120.49.149:4022/rtp/239.3.1.129:8008
CCTV-1,http://114.248.11.26:23456/rtp/239.3.1.129:8008
CCTV-5,http://111.196.130.52:20000/rtp/239.3.1.173:8001
CCTV-5,http://114.248.11.26:23456/rtp/239.3.1.173:8001
CCTV-5,http://114.254.38.234:8888/rtp/239.3.1.173:8001
CCTV-5,http://123.120.49.149:4022/rtp/239.3.1.173:8001
CCTV-5,http://114.254.36.94:8888/rtp/239.3.1.173:8001
CCTV-2,http://111.196.130.52:20000/rtp/239.3.1.60:8084
CCTV-2,http://123.120.49.149:4022/rtp/239.3.1.60:8084
CCTV-2,http://114.254.36.94:8888/rtp/239.3.1.60:8084
CCTV-2,http://114.254.38.234:8888/rtp/239.3.1.60:8084
CCTV-2,http://221.220.129.160:8012/rtp/239.3.1.60:8084
CCTV-3,http://221.220.129.160:8012/rtp/239.3.1.172:8001
CCTV-3,http://111.196.130.52:20000/rtp/239.3.1.172:8001
CCTV-3,http://114.254.38.234:8888/rtp/239.3.1.172:8001
CCTV-3,http://123.120.49.149:4022/rtp/239.3.1.172:8001
CCTV-3,http://114.254.36.94:8888/rtp/239.3.1.172:8001
CCTV-4,http://221.220.129.160:8012/rtp/239.3.1.105:8092
CCTV-4,http://114.254.38.234:8888/rtp/239.3.1.105:8092
CCTV-4,http://114.254.36.94:8888/rtp/239.3.1.105:8092
CCTV-4,http://114.248.11.26:23456/rtp/239.3.1.105:8092
CCTV-4,http://111.196.130.52:20000/rtp/239.3.1.105:8092
CCTV-5+,http://221.220.129.160:8012/rtp/239.3.1.130:8004
CCTV-5+,http://114.254.38.234:8888/rtp/239.3.1.130:8004
CCTV-5+,http://114.254.36.94:8888/rtp/239.3.1.130:8004
CCTV-5+,http://123.120.49.149:4022/rtp/239.3.1.130:8004
CCTV-5+,http://111.196.130.52:20000/rtp/239.3.1.130:8004
CCTV-6,http://joyznm.i234.me:20000/rtp/239.3.1.174:8001
CCTV-6,http://114.254.38.234:8888/rtp/239.3.1.174:8001
CCTV-6,http://114.254.36.94:8888/rtp/239.3.1.174:8001
CCTV-6,http://114.248.11.26:23456/rtp/239.3.1.174:8001
CCTV-6,http://111.196.130.52:20000/rtp/239.3.1.174:8001
CCTV-7,http://x1x.bid:5146/rtp/239.3.1.61:8104
CCTV-7,http://b.xiongnas.top:8888/rtp/239.3.1.61:8104
CCTV-7,http://123.120.49.149:4022/rtp/239.3.1.61:8104
CCTV-7,http://114.248.11.26:23456/rtp/239.3.1.61:8104
CCTV-7,http://115.171.216.23:4000/rtp/225.1.8.7:8104
CCTV-8,http://114.254.38.234:8888/rtp/239.3.1.175:8001
CCTV-8,http://114.254.36.94:8888/rtp/239.3.1.175:8001
CCTV-8,http://joyznm.i234.me:20000/rtp/239.3.1.175:8001
CCTV-8,http://123.120.49.149:4022/rtp/239.3.1.175:8001
CCTV-8,http://221.220.129.160:8012/rtp/239.3.1.175:8001
CCTV-9,http://221.220.129.160:8012/rtp/239.3.1.62:8112
CCTV-9,http://b.xiongnas.top:8888/rtp/239.3.1.62:8112
CCTV-9,http://111.196.130.52:20000/rtp/239.3.1.62:8112
CCTV-9,http://114.254.38.234:8888/rtp/239.3.1.62:8112
CCTV-9,http://114.254.36.94:8888/rtp/239.3.1.62:8112
CCTV-10,http://221.220.129.160:8012/rtp/239.3.1.63:8116
CCTV-10,http://123.120.49.149:4022/rtp/239.3.1.63:8116
CCTV-10,http://114.254.36.94:8888/rtp/239.3.1.63:8116
CCTV-10,http://114.254.38.234:8888/rtp/239.3.1.63:8116
